user_id,hashtag
1079579727570952197,england
1079579727570952197,esports
1079579727570952197,women
1079579727570952197,zelda
1079579727570952197,cosplay
1079579727570952197,startup
1079579727570952197,investing
1079579727570952197,nftcommunity
1079579727570952197,branding
1079579727570952197,marketing
1079579727570952197,gamergirl
1079579727570952197,usa
1079579727570952197,gamefi
1079579727570952197,minecraft
1079579727570952197,streaming
1079579727570952197,gaming
1079579727570952197,gamedev
1079579727570952197,dota2
1079579727570952197,animalcrossing
1079579727570952197,womenintech
1079579727570952197,pubg
1079579727570952197,100daysofcode
1079579727570952197,nftartist
1079579727570952197,csgo
1079579727570952197,games
16060248,ioe
16060248,iot
16060248,innovation
16060248,data
16060248,machinelearning
16060248,ml
16060248,ai
16060248,datascientist
1336660338289340416,techmas
1336660338289340416,12daysoftechmas
1336660338289340416,womenintech
1336660338289340416,tuesdayvibe
2385598159,femtechconf
2385598159,womenintech
1005135519355768832,womenwhocode
1005135519355768832,100daysofcode
1005135519355768832,girlswhocode
1005135519355768832,matlabsimulink
1609335341718335488,feminist
1609335341718335488,feminism
1609335341718335488,equality
1609335341718335488,womenempowerment
1609335341718335488,women
1609335341718335488,girlpower
1609335341718335488,love
1609335341718335488,womensupportingwomen
1609335341718335488,feminista
1609335341718335488,feminismo
1609335341718335488,womensrights
1609335341718335488,lgbt
1097078320259305472,teamtechup
1097078320259305472,techup
1097078320259305472,womenintech
1097078320259305472,techupwomen
1097078320259305472,diversityintech
1097078320259305472,happynewyear
1097078320259305472,newyear2023
16060248,biometrics
16060248,face
16060248,tech
16060248,nlp
16060248,robotic
16060248,datascience
16060248,bigdata
1191969099624128512,teamtechup
1189956284688109568,ortylphotolab
1189956284688109568,newyear
1189956284688109568,science
1280437090644365312,ortylphotolab
1280437090644365312,newyear
1280437090644365312,science
50013926,biometrics
50013926,face
50013926,tech
50013926,ai
50013926,nlp
50013926,robotic
50013926,datascience
50013926,bigdata
2385652268,biometrics
2385652268,face
2385652268,tech
2385652268,ai
2385652268,nlp
2385652268,robotic
2385652268,datascience
2385652268,bigdata
913265690521378816,happynewyear2023
913265690521378816,scholarship
913265690521378816,bursary
913265690521378816,women
913265690521378816,education
913265690521378816,academic
913265690521378816,award
913265690521378816,yeg
913265690521378816,stalbert
913265690521378816,sherwoodpark
913265690521378816,alberta
913265690521378816,advocacy
913265690521378816,humanrights
913265690521378816,genderequality
913265690521378816,equality
1282733077,tech
1282733077,ai
1282733077,nlp
1282733077,robotic
1282733077,datascience
1282733077,bigdata
1282733077,analytics
1282733077,innovation
1282733077,digital
1282733077,python
1364130692075028483,tech
1364130692075028483,ai
1364130692075028483,nlp
1364130692075028483,robotic
1364130692075028483,datascience
1364130692075028483,bigdata
1364130692075028483,analytics
1364130692075028483,innovation
1364130692075028483,digital
1364130692075028483,python
1388264013549621251,happynewyear2023
1388264013549621251,women
1388264013549621251,education
1388264013549621251,academic
