tweet_id,hashtag
1609338695374733314,england
1609338695374733314,esports
1609338695374733314,women
1609338695374733314,zelda
1609338695374733314,cosplay
1609338695374733314,startup
1609338695374733314,investing
1609338695374733314,nftcommunity
1609338695374733314,branding
1609338695374733314,marketing
1609338695374733314,gamergirl
1609338695374733314,usa
1609338695374733314,gamefi
1609338695374733314,minecraft
1609338695374733314,streaming
1609338695374733314,gaming
1609338695374733314,gamedev
1609338695374733314,dota2
1609338695374733314,animalcrossing
1609338695374733314,womenintech
1609338695374733314,pubg
1609338695374733314,100daysofcode
1609338695374733314,nftartist
1609338695374733314,csgo
1609338695374733314,games
1609339028989673476,ioe
1609339028989673476,iot
1609339028989673476,innovation
1609339028989673476,data
1609339028989673476,machinelearning
1609339028989673476,ml
1609339028989673476,ai
1609339028989673476,datascientist
1609340258868686850,techmas
1609340258868686850,12daysoftechmas
1609340258868686850,womenintech
1609340258868686850,tuesdayvibe
1609340607385714690,femtechconf
1609340607385714690,womenintech
1609340826056036357,womenwhocode
1609340826056036357,100daysofcode
1609340826056036357,girlswhocode
1609340826056036357,matlabsimulink
1609340979076829185,feminist
1609340979076829185,feminism
1609340979076829185,equality
1609340979076829185,womenempowerment
1609340979076829185,women
1609340979076829185,girlpower
1609340979076829185,love
1609340979076829185,womensupportingwomen
1609340979076829185,feminista
1609340979076829185,feminismo
1609340979076829185,womensrights
1609340979076829185,lgbt
1609341130352594947,teamtechup
1609341130352594947,techup
1609341130352594947,womenintech
1609341130352594947,techupwomen
1609341130352594947,diversityintech
1609341130352594947,happynewyear
1609341130352594947,newyear2023
1609342160566116353,biometrics
1609342160566116353,face
1609342160566116353,tech
1609342160566116353,ai
1609342160566116353,nlp
1609342160566116353,robotic
1609342160566116353,datascience
1609342160566116353,bigdata
1609342497817333762,teamtechup
1609343302741987328,ortylphotolab
1609343302741987328,newyear
1609343302741987328,science
1609343374066073604,ortylphotolab
1609343374066073604,newyear
1609343374066073604,science
1609343492446101505,biometrics
1609343492446101505,face
1609343492446101505,tech
1609343492446101505,ai
1609343492446101505,nlp
1609343492446101505,robotic
1609343492446101505,datascience
1609343492446101505,bigdata
1609343545315414016,biometrics
1609343545315414016,face
1609343545315414016,tech
1609343545315414016,ai
1609343545315414016,nlp
1609343545315414016,robotic
1609343545315414016,datascience
1609343545315414016,bigdata
1609344097336307712,happynewyear2023
1609344097336307712,scholarship
1609344097336307712,bursary
1609344097336307712,women
1609344097336307712,education
1609344097336307712,academic
1609344097336307712,award
1609344097336307712,yeg
1609344097336307712,stalbert
1609344097336307712,sherwoodpark
1609344097336307712,alberta
1609344097336307712,advocacy
1609344097336307712,humanrights
1609344097336307712,genderequality
1609344097336307712,equality
1609344354652491776,tech
1609344354652491776,ai
1609344354652491776,nlp
1609344354652491776,robotic
1609344354652491776,datascience
1609344354652491776,bigdata
1609344354652491776,analytics
1609344354652491776,innovation
1609344354652491776,digital
1609344354652491776,python
1609344372528615426,tech
1609344372528615426,ai
1609344372528615426,nlp
1609344372528615426,robotic
1609344372528615426,datascience
1609344372528615426,bigdata
1609344372528615426,analytics
1609344372528615426,innovation
1609344372528615426,digital
1609344372528615426,python
1609344824708300801,happynewyear2023
1609344824708300801,women
1609344824708300801,education
1609344824708300801,academic
1609344824708300801,yeg
1609344824708300801,edmonton
1609344824708300801,sherwoodpark
1609344824708300801,calgary
1609344824708300801,yyc
1609344824708300801,lethbridge
1609344824708300801,alberta
1609344824708300801,advocacy
1609344824708300801,humanrights
1609344824708300801,genderequality
1609344824708300801,equality
1609345296152109063,datascience
1609345296152109063,data
1609345296152109063,bigdata
1609345296152109063,business
1609345296152109063,analytics
1609345296152109063,python
1609345296152109063,javascript
1609345317681389568,datascience
1609345317681389568,data
1609345317681389568,bigdata
1609345317681389568,business
1609345317681389568,analytics
1609345317681389568,python
1609345665561247744,code
1609345665561247744,programmers
1609345665561247744,womenintech
1609345665561247744,womenwhocode
1609345665561247744,womencoding
1609345665561247744,programminglife
1609347188164857857,datascience
1609347188164857857,data
1609347188164857857,bigdata
1609347188164857857,analytics
